Run_5-4-2026_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Center find UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,c1,c2,c3,c4,c5,c6,c7,c8,c9,,,,,,,,,,,,,,,,
UTS-J,East,36,33.76,32.647,33.077,36.7,37.244,39.023,39.368,38.174,,,,,,,,,,,,,,,,
UTS-J,North,-2.989,-2.133,-0.12,2.188,3.677,3.628,2.093,-0.29,-2.23,,,,,,,,,,,,,,,,
UTS-J,Elevation,10.65,10.671,10.692,10.702,10.697,10.681,10.658,10.641,10.638,,,,,,,,,,,,,,,,
-- Center find Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Point J Prime,X,-3322.09,-2007.34,202.167,2344.96,3394.97,2847.24,962.992,-1427.05,-3064.62,,,,,,,,,,,,,,,,
Point J Prime,Y,4524.16,4523.52,4523.52,4524.12,4523.16,4523.52,4523.23,4523.2,4525.12,,,,,,,,,,,,,,,,
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45,,,,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,,,,,,,,,,,,,,,,
-- Test Run UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
Pin 3,Z,220.085,220.67,220.239,220.41,220.455,278.838,279.674,439.021,413.274,400.488,542.238,481.541,482.165,647.824,334.302,1131.69,856.73,748.197,625.4,455.006,1468.89,1076.24,919.139,777.318,516.861
Pin 4,X,1442.72,2202.76,944.495,944.998,944.495,944.082,948.54,2166.67,1954.6,1856.2,1703.57,1475.14,1477.33,2120.98,943.198,1870.2,1472.57,1323.73,1159.71,937.177,1570.81,1291.28,1186.15,1094.1,929.469
Pin 4,Y,3222.67,2892.08,3257.02,3257.03,3257.02,3257.02,3257.28,2903.69,3035.32,3084.53,3132.81,3207.71,3207.04,2895.2,3257.03,2845.33,3151.88,3212.29,3250.23,3256.98,2711.82,3125.21,3202.42,3242.95,3256.86
Pin 4,Z,220.161,220.375,220.365,220.364,220.497,224.817,225.491,445.073,406.556,388.699,507.633,423.891,424.618,660.379,229.21,1173.44,774.792,625.63,460.432,238.497,1571.07,990.822,773.394,582.199,240.635
Pin 5,X,2898.97,4019.99,2044.11,1909.18,2059.85,2042.46,1879.04,3952.75,3595.57,3486.5,3218.21,2851.83,2797.05,3810.09,1997.04,3159.96,2550.62,2279.94,2055.7,1674.84,2368.36,1977.58,1768.09,1674.94,1389.4
Pin 5,Y,4245.96,3158.98,4610.16,4565.02,4612.54,4612.63,4551.68,3188.5,3613.4,3745.34,3898.32,4183.76,4188.3,3185.4,4613.3,3039.18,3981.75,4209.81,4408.45,4597.6,2716.01,3887.51,4167.21,4360.51,4603.88
Pin 5,Z,218.775,219.278,219.915,220.23,220.064,421.593,392.825,765.461,702.184,681.708,1062.16,927.842,907.901,1278.83,614.632,2466.77,1856.08,1584.38,1357.91,975.488,3224.13,2415.65,1979.42,1786.41,1194.5
Pin 6,X,2805.88,3686.37,2114.65,2115.46,2114.68,2095.93,2102.38,3627.62,3405.37,3294.17,3057.29,2774.15,2776.96,3514.53,2042.38,2917.04,2483.12,2296.65,2079.6,1764.66,2207.84,1918.79,1790,1669.08,1437.48
Pin 6,Y,3810.04,2862.85,4170.04,4169.9,4170.18,4170.18,4168.02,2889.28,3211.95,3344.72,3486.65,3745.84,3743.08,2869.65,4170.18,2756.69,3546.36,3764.72,3963.99,4170.47,2469.79,3463.21,3724.41,3914.97,4171.9
Pin 6,Z,218.838,219.369,219.886,219.885,220.049,431.603,432.364,707.001,667.462,647.156,1003.41,899.502,900.622,1170.63,631.172,2222.57,1788.36,1601.37,1382.12,1066.37,2890.31,2292.66,2024.74,1774.25,1293.36
